GEOID10,Date,n,severity,median
29095005700,2010-06-06,0,NA,33.81
29095005801,2010-06-06,0,NA,33.73000000000002
29095016400,2010-06-06,0,NA,33.53000000000003
29095016600,2010-06-06,0,NA,36.35000000000002
29095016700,2010-06-06,0,NA,34.13000000000005
29095017800,2010-06-06,0,NA,34.97000000000003
29095016800,2010-06-06,0,NA,33.110000000000014
29095016900,2010-06-06,0,NA,34.610000000000014
29095000300,2010-06-07,0,NA,NA
29095001000,2010-06-07,0,NA,NA
29095001100,2010-06-07,0,NA,NA
29095001800,2010-06-07,0,NA,NA
29095003700,2010-06-07,0,NA,NA
29095003800,2010-06-07,0,NA,NA
29095004300,2010-06-07,0,NA,NA
29095004400,2010-06-07,0,NA,NA
29095004600,2010-06-07,0,NA,NA
29095005100,2010-06-07,0,NA,NA
29095005200,2010-06-07,0,NA,NA
29095005300,2010-06-07,0,NA,NA
29095005400,2010-06-07,0,NA,NA
29095005500,2010-06-07,0,NA,NA
29095005601,2010-06-07,0,NA,NA
29095005602,2010-06-07,0,NA,NA
29095006000,2010-06-07,0,NA,NA
29095006100,2010-06-07,1,1,NA
29095006300,2010-06-07,0,NA,NA
29095006500,2010-06-07,0,NA,NA
29095006600,2010-06-07,0,NA,NA
29095006700,2010-06-07,0,NA,NA
29095006900,2010-06-07,0,NA,NA
29095007100,2010-06-07,0,NA,NA
29095007300,2010-06-07,0,NA,NA
29095015300,2010-06-07,1,1,NA
29095015200,2010-06-07,0,NA,NA
29095015400,2010-06-07,0,NA,NA
29095015900,2010-06-07,0,NA,NA
29095015700,2010-06-07,0,NA,NA
29095000600,2010-06-07,0,NA,NA
29095000700,2010-06-07,1,1,NA
29095000800,2010-06-07,0,NA,NA
29095000900,2010-06-07,0,NA,NA
29095015800,2010-06-07,0,NA,NA
29095016000,2010-06-07,0,NA,NA
29095016500,2010-06-07,0,NA,NA
29095016100,2010-06-07,0,NA,NA
29095016200,2010-06-07,0,NA,NA
29095017100,2010-06-07,0,NA,NA
29095001900,2010-06-07,0,NA,NA
29095002200,2010-06-07,0,NA,NA
29095002300,2010-06-07,0,NA,NA
29095003400,2010-06-07,0,NA,NA
29095005700,2010-06-07,0,NA,NA
29095005801,2010-06-07,0,NA,NA
29095016400,2010-06-07,0,NA,NA
29095016600,2010-06-07,1,1,NA
29095016700,2010-06-07,0,NA,NA
29095017800,2010-06-07,0,NA,NA
29095016800,2010-06-07,0,NA,NA
29095016900,2010-06-07,0,NA,NA
29095000300,2010-06-08,1,1,NA
29095001000,2010-06-08,0,NA,NA
29095001100,2010-06-08,0,NA,NA
29095001800,2010-06-08,0,NA,NA
29095003700,2010-06-08,0,NA,NA
29095003800,2010-06-08,0,NA,NA
29095004300,2010-06-08,0,NA,NA
29095004400,2010-06-08,0,NA,NA
29095004600,2010-06-08,0,NA,NA
29095005100,2010-06-08,0,NA,NA
29095005200,2010-06-08,0,NA,NA
29095005300,2010-06-08,1,1,NA
29095005400,2010-06-08,0,NA,NA
29095005500,2010-06-08,1,1,NA
29095005601,2010-06-08,0,NA,NA
29095005602,2010-06-08,1,1,NA
29095006000,2010-06-08,0,NA,NA
29095006100,2010-06-08,0,NA,NA
29095006300,2010-06-08,0,NA,NA
29095006500,2010-06-08,0,NA,NA
29095006600,2010-06-08,0,NA,NA
29095006700,2010-06-08,0,NA,NA
29095006900,2010-06-08,0,NA,NA
29095007100,2010-06-08,0,NA,NA
29095007300,2010-06-08,0,NA,NA
29095015300,2010-06-08,0,NA,NA
29095015200,2010-06-08,0,NA,NA
29095015400,2010-06-08,0,NA,NA
29095015900,2010-06-08,0,NA,NA
29095015700,2010-06-08,0,NA,NA
29095000600,2010-06-08,0,NA,NA
29095000700,2010-06-08,0,NA,NA
29095000800,2010-06-08,0,NA,NA
29095000900,2010-06-08,0,NA,NA
29095015800,2010-06-08,0,NA,NA
29095016000,2010-06-08,0,NA,NA
29095016500,2010-06-08,0,NA,NA
29095016100,2010-06-08,0,NA,NA
29095016200,2010-06-08,0,NA,NA
29095017100,2010-06-08,0,NA,NA
29095001900,2010-06-08,0,NA,NA
29095002200,2010-06-08,0,NA,NA
29095002300,2010-06-08,0,NA,NA
29095003400,2010-06-08,0,NA,NA
29095005700,2010-06-08,0,NA,NA
29095005801,2010-06-08,0,NA,NA
29095016400,2010-06-08,0,NA,NA
29095016600,2010-06-08,0,NA,NA
29095016700,2010-06-08,0,NA,NA
29095017800,2010-06-08,0,NA,NA
29095016800,2010-06-08,0,NA,NA
29095016900,2010-06-08,0,NA,NA
29095000300,2010-06-09,0,NA,NA
29095001000,2010-06-09,0,NA,NA
29095001100,2010-06-09,0,NA,NA
29095001800,2010-06-09,1,1,NA
29095003700,2010-06-09,0,NA,NA
29095003800,2010-06-09,0,NA,NA
29095004300,2010-06-09,0,NA,NA
29095004400,2010-06-09,0,NA,NA
29095004600,2010-06-09,0,NA,NA
29095005100,2010-06-09,0,NA,NA
29095005200,2010-06-09,0,NA,NA
29095005300,2010-06-09,0,NA,NA
29095005400,2010-06-09,0,NA,NA
29095005500,2010-06-09,0,NA,NA
29095005601,2010-06-09,0,NA,NA
29095005602,2010-06-09,0,NA,NA
29095006000,2010-06-09,0,NA,NA
29095006100,2010-06-09,0,NA,NA
29095006300,2010-06-09,0,NA,NA
29095006500,2010-06-09,0,NA,NA
29095006600,2010-06-09,0,NA,NA
29095006700,2010-06-09,0,NA,NA
29095006900,2010-06-09,0,NA,NA
29095007100,2010-06-09,0,NA,NA
29095007300,2010-06-09,0,NA,NA
29095015300,2010-06-09,0,NA,NA
29095015200,2010-06-09,0,NA,NA
29095015400,2010-06-09,0,NA,NA
29095015900,2010-06-09,0,NA,NA
29095015700,2010-06-09,0,NA,NA
29095000600,2010-06-09,0,NA,NA
29095000700,2010-06-09,1,1,NA
29095000800,2010-06-09,0,NA,NA
29095000900,2010-06-09,0,NA,NA
29095015800,2010-06-09,0,NA,NA
29095016000,2010-06-09,0,NA,NA
29095016500,2010-06-09,0,NA,NA
29095016100,2010-06-09,1,1,NA
29095016200,2010-06-09,0,NA,NA
29095017100,2010-06-09,0,NA,NA
29095001900,2010-06-09,0,NA,NA
29095002200,2010-06-09,0,NA,NA
29095002300,2010-06-09,0,NA,NA
29095003400,2010-06-09,0,NA,NA
29095005700,2010-06-09,0,NA,NA
29095005801,2010-06-09,0,NA,NA
29095016400,2010-06-09,0,NA,NA
29095016600,2010-06-09,1,1,NA
29095016700,2010-06-09,1,1,NA
29095017800,2010-06-09,0,NA,NA
29095016800,2010-06-09,0,NA,NA
29095016900,2010-06-09,0,NA,NA
29095000300,2010-06-10,0,NA,NA
29095001000,2010-06-10,0,NA,NA
29095001100,2010-06-10,0,NA,NA
29095001800,2010-06-10,0,NA,NA
29095003700,2010-06-10,0,NA,NA
29095003800,2010-06-10,0,NA,NA
29095004300,2010-06-10,0,NA,NA
29095004400,2010-06-10,0,NA,NA
29095004600,2010-06-10,0,NA,NA
29095005100,2010-06-10,0,NA,NA
29095005200,2010-06-10,1,1,NA
29095005300,2010-06-10,0,NA,NA
29095005400,2010-06-10,0,NA,NA
29095005500,2010-06-10,0,NA,NA
29095005601,2010-06-10,0,NA,NA
29095005602,2010-06-10,0,NA,NA
29095006000,2010-06-10,0,NA,NA
29095006100,2010-06-10,0,NA,NA
29095006300,2010-06-10,0,NA,NA
29095006500,2010-06-10,0,NA,NA
29095006600,2010-06-10,0,NA,NA
29095006700,2010-06-10,0,NA,NA
29095006900,2010-06-10,0,NA,NA
29095007100,2010-06-10,0,NA,NA
29095007300,2010-06-10,0,NA,NA
29095015300,2010-06-10,0,NA,NA
29095015200,2010-06-10,0,NA,NA
29095015400,2010-06-10,1,1,NA
29095015900,2010-06-10,1,1,NA
29095015700,2010-06-10,0,NA,NA
29095000600,2010-06-10,0,NA,NA
29095000700,2010-06-10,1,1,NA
29095000800,2010-06-10,0,NA,NA
29095000900,2010-06-10,0,NA,NA
29095015800,2010-06-10,1,1,NA
29095016000,2010-06-10,0,NA,NA
29095016500,2010-06-10,0,NA,NA
29095016100,2010-06-10,1,1,NA
29095016200,2010-06-10,0,NA,NA
29095017100,2010-06-10,0,NA,NA
29095001900,2010-06-10,0,NA,NA
29095002200,2010-06-10,0,NA,NA
29095002300,2010-06-10,0,NA,NA
29095003400,2010-06-10,0,NA,NA
29095005700,2010-06-10,0,NA,NA
29095005801,2010-06-10,1,1,NA
29095016400,2010-06-10,0,NA,NA
29095016600,2010-06-10,0,NA,NA
29095016700,2010-06-10,0,NA,NA
29095017800,2010-06-10,0,NA,NA
29095016800,2010-06-10,0,NA,NA
29095016900,2010-06-10,0,NA,NA
29095000300,2010-06-11,0,NA,NA
29095001000,2010-06-11,0,NA,NA
29095001100,2010-06-11,0,NA,NA
29095001800,2010-06-11,0,NA,NA
29095003700,2010-06-11,0,NA,NA
29095003800,2010-06-11,0,NA,NA
29095004300,2010-06-11,0,NA,NA
29095004400,2010-06-11,0,NA,NA
29095004600,2010-06-11,0,NA,NA
29095005100,2010-06-11,0,NA,NA
29095005200,2010-06-11,0,NA,NA
29095005300,2010-06-11,0,NA,NA
29095005400,2010-06-11,0,NA,NA
29095005500,2010-06-11,0,NA,NA
29095005601,2010-06-11,0,NA,NA
29095005602,2010-06-11,0,NA,NA
29095006000,2010-06-11,0,NA,NA
29095006100,2010-06-11,0,NA,NA
29095006300,2010-06-11,0,NA,NA
29095006500,2010-06-11,0,NA,NA
29095006600,2010-06-11,0,NA,NA
29095006700,2010-06-11,0,NA,NA
29095006900,2010-06-11,0,NA,NA
29095007100,2010-06-11,0,NA,NA
29095007300,2010-06-11,0,NA,NA
29095015300,2010-06-11,0,NA,NA
29095015200,2010-06-11,0,NA,NA
29095015400,2010-06-11,0,NA,NA
29095015900,2010-06-11,0,NA,NA
29095015700,2010-06-11,0,NA,NA
29095000600,2010-06-11,0,NA,NA
29095000700,2010-06-11,0,NA,NA
29095000800,2010-06-11,0,NA,NA
29095000900,2010-06-11,0,NA,NA
29095015800,2010-06-11,0,NA,NA
29095016000,2010-06-11,0,NA,NA
29095016500,2010-06-11,0,NA,NA
29095016100,2010-06-11,0,NA,NA
29095016200,2010-06-11,0,NA,NA
29095017100,2010-06-11,0,NA,NA
29095001900,2010-06-11,1,1,NA
29095002200,2010-06-11,0,NA,NA
29095002300,2010-06-11,0,NA,NA
29095003400,2010-06-11,0,NA,NA
29095005700,2010-06-11,0,NA,NA
29095005801,2010-06-11,0,NA,NA
29095016400,2010-06-11,0,NA,NA
29095016600,2010-06-11,0,NA,NA
29095016700,2010-06-11,0,NA,NA
29095017800,2010-06-11,0,NA,NA
29095016800,2010-06-11,0,NA,NA
29095016900,2010-06-11,0,NA,NA
29095000300,2010-06-12,0,NA,NA
29095001000,2010-06-12,0,NA,NA
29095001100,2010-06-12,0,NA,NA
29095001800,2010-06-12,0,NA,NA
29095003700,2010-06-12,0,NA,NA
29095003800,2010-06-12,0,NA,NA
29095004300,2010-06-12,0,NA,NA
29095004400,2010-06-12,0,NA,NA
29095004600,2010-06-12,0,NA,NA
29095005100,2010-06-12,0,NA,NA
29095005200,2010-06-12,0,NA,NA
29095005300,2010-06-12,0,NA,NA
29095005400,2010-06-12,0,NA,NA
29095005500,2010-06-12,0,NA,NA
29095005601,2010-06-12,0,NA,NA
29095005602,2010-06-12,0,NA,NA
29095006000,2010-06-12,0,NA,NA
29095006100,2010-06-12,0,NA,NA
29095006300,2010-06-12,0,NA,NA
29095006500,2010-06-12,0,NA,NA
29095006600,2010-06-12,0,NA,NA
29095006700,2010-06-12,0,NA,NA
29095006900,2010-06-12,0,NA,NA
29095007100,2010-06-12,0,NA,NA
29095007300,2010-06-12,0,NA,NA
29095015300,2010-06-12,0,NA,NA
29095015200,2010-06-12,0,NA,NA
29095015400,2010-06-12,0,NA,NA
29095015900,2010-06-12,0,NA,NA
29095015700,2010-06-12,0,NA,NA
29095000600,2010-06-12,0,NA,NA
29095000700,2010-06-12,0,NA,NA
29095000800,2010-06-12,0,NA,NA
29095000900,2010-06-12,0,NA,NA
29095015800,2010-06-12,0,NA,NA
29095016000,2010-06-12,0,NA,NA
29095016500,2010-06-12,0,NA,NA
29095016100,2010-06-12,0,NA,NA
29095016200,2010-06-12,0,NA,NA
29095017100,2010-06-12,0,NA,NA
29095001900,2010-06-12,0,NA,NA
29095002200,2010-06-12,0,NA,NA
29095002300,2010-06-12,0,NA,NA
29095003400,2010-06-12,0,NA,NA
29095005700,2010-06-12,0,NA,NA
29095005801,2010-06-12,0,NA,NA
29095016400,2010-06-12,0,NA,NA
29095016600,2010-06-12,0,NA,NA
29095016700,2010-06-12,0,NA,NA
29095017800,2010-06-12,0,NA,NA
29095016800,2010-06-12,0,NA,NA
29095016900,2010-06-12,0,NA,NA
29095000300,2010-06-13,0,NA,NA
29095001000,2010-06-13,0,NA,NA
29095001100,2010-06-13,0,NA,NA
29095001800,2010-06-13,0,NA,NA
29095003700,2010-06-13,0,NA,NA
29095003800,2010-06-13,0,NA,NA
29095004300,2010-06-13,0,NA,NA
29095004400,2010-06-13,0,NA,NA
29095004600,2010-06-13,0,NA,NA
29095005100,2010-06-13,0,NA,NA
29095005200,2010-06-13,0,NA,NA
29095005300,2010-06-13,0,NA,NA
29095005400,2010-06-13,0,NA,NA
29095005500,2010-06-13,0,NA,NA
29095005601,2010-06-13,0,NA,NA
29095005602,2010-06-13,0,NA,NA
29095006000,2010-06-13,0,NA,NA
29095006100,2010-06-13,0,NA,NA
29095006300,2010-06-13,0,NA,NA
29095006500,2010-06-13,0,NA,NA
29095006600,2010-06-13,0,NA,NA
29095006700,2010-06-13,0,NA,NA
29095006900,2010-06-13,0,NA,NA
29095007100,2010-06-13,0,NA,NA
29095007300,2010-06-13,0,NA,NA
29095015300,2010-06-13,0,NA,NA
29095015200,2010-06-13,0,NA,NA
29095015400,2010-06-13,0,NA,NA
29095015900,2010-06-13,0,NA,NA
29095015700,2010-06-13,0,NA,NA
29095000600,2010-06-13,0,NA,NA
29095000700,2010-06-13,0,NA,NA
29095000800,2010-06-13,0,NA,NA
29095000900,2010-06-13,0,NA,NA
29095015800,2010-06-13,0,NA,NA
29095016000,2010-06-13,0,NA,NA
29095016500,2010-06-13,0,NA,NA
29095016100,2010-06-13,0,NA,NA
29095016200,2010-06-13,0,NA,NA
29095017100,2010-06-13,0,NA,NA
29095001900,2010-06-13,0,NA,NA
